fecha	modo	ref	sha	variante	xcode	swift	sdk	runtime	dispositivo	iteraciones	pasa	falla	detalle
2026-09-21T03:08:00+0200	inits	lazy-baseline-stateobject	ed95e23	-	Xcode 26.2 Build version 17C52	swift-driver version: 1.127.14.1 Apple Swift version 6.2.3 (swiftlang-6.2.3.3.21 clang-1700.6.3.2)	iOS-26.2	27.0 (24A434)	iPhone 18 Pro (05C309CD-551D-450E-ABEF-90FDA21C10C6)	1	1	0	27.0 launch=1 after3taps=1
2026-09-21T03:08:46+0200	inits	lazy-state-classes	3569f05	-	Xcode 26.2 Build version 17C52	swift-driver version: 1.127.14.1 Apple Swift version 6.2.3 (swiftlang-6.2.3.3.21 clang-1700.6.3.2)	iOS-26.2	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	1	1	0	17.2 contentVM=1->4 observableProbe=1->4 objectProbe=1->4
2026-09-21T03:09:04+0200	inits	lazy-state-classes	3569f05	-	Xcode 26.2 Build version 17C52	swift-driver version: 1.127.14.1 Apple Swift version 6.2.3 (swiftlang-6.2.3.3.21 clang-1700.6.3.2)	iOS-26.2	27.0 (24A434)	iPhone 18 Pro (05C309CD-551D-450E-ABEF-90FDA21C10C6)	1	1	0	27.0 contentVM=1->4 observableProbe=1->4 objectProbe=1->4
2026-09-21T03:09:40+0200	inits	lazy-state-experiment	3625582	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	1	1	0	17.2 launch=1 after3taps=1
2026-09-21T03:09:51+0200	inits	lazy-state-experiment	3625582	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.6 (22G86)	iPhone 16 Pro (54CA692E-3CBF-4505-8C08-3B230154D6B1)	1	1	0	18.6 launch=1 after3taps=1
2026-09-21T03:10:21+0200	inits	lazy-state-experiment	3625582	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	26.2 (23C54)	iPhone 17 Pro (A2F80096-F863-4140-8062-EC362CE9E99B)	1	1	0	26.2 launch=1 after3taps=1
2026-09-21T03:11:02+0200	inits	lazy-state-experiment	3625582	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	27.0 (24A434)	iPhone 18 Pro (05C309CD-551D-450E-ABEF-90FDA21C10C6)	1	0	1	InitCountUITests.swift:22: XCTAssertTrue failed - La pulsación 1 no se registró
2026-09-21T03:11:44+0200	inits	lazy-baseline-stateobject	ed95e23	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	1	1	0	17.2 launch=1 after3taps=1
2026-09-21T03:11:56+0200	inits	lazy-baseline-stateobject	ed95e23	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.6 (22G86)	iPhone 16 Pro (54CA692E-3CBF-4505-8C08-3B230154D6B1)	1	1	0	18.6 launch=1 after3taps=1
2026-09-21T03:12:24+0200	inits	lazy-baseline-stateobject	ed95e23	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	26.2 (23C54)	iPhone 17 Pro (A2F80096-F863-4140-8062-EC362CE9E99B)	1	1	0	26.2 launch=1 after3taps=1
2026-09-21T03:12:41+0200	inits	lazy-baseline-stateobject	ed95e23	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	27.0 (24A434)	iPhone 18 Pro (05C309CD-551D-450E-ABEF-90FDA21C10C6)	1	1	0	27.0 launch=1 after3taps=1
2026-09-21T03:13:22+0200	inits	lazy-state-classes	3569f05	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	1	1	0	17.2 contentVM=1->1 observableProbe=1->1 objectProbe=1->1
2026-09-21T03:13:34+0200	inits	lazy-state-classes	3569f05	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.6 (22G86)	iPhone 16 Pro (54CA692E-3CBF-4505-8C08-3B230154D6B1)	1	1	0	18.6 contentVM=1->1 observableProbe=1->1 objectProbe=1->1
2026-09-21T03:14:01+0200	inits	lazy-state-classes	3569f05	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	26.2 (23C54)	iPhone 17 Pro (A2F80096-F863-4140-8062-EC362CE9E99B)	1	1	0	26.2 contentVM=1->1 observableProbe=1->1 objectProbe=1->1
2026-09-21T03:14:20+0200	inits	lazy-state-classes	3569f05	-	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	27.0 (24A434)	iPhone 18 Pro (05C309CD-551D-450E-ABEF-90FDA21C10C6)	1	1	0	27.0 contentVM=1->1 observableProbe=1->1 objectProbe=1->1
2026-09-21T03:15:00+0200	inits	lazy-state-experiment	3625582	-	Xcode 26.2 Build version 17C52	swift-driver version: 1.127.14.1 Apple Swift version 6.2.3 (swiftlang-6.2.3.3.21 clang-1700.6.3.2)	iOS-26.2	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	1	1	0	17.2 launch=1 after3taps=4
2026-09-21T03:15:13+0200	inits	lazy-state-experiment	3625582	-	Xcode 26.2 Build version 17C52	swift-driver version: 1.127.14.1 Apple Swift version 6.2.3 (swiftlang-6.2.3.3.21 clang-1700.6.3.2)	iOS-26.2	18.6 (22G86)	iPhone 16 Pro (54CA692E-3CBF-4505-8C08-3B230154D6B1)	1	1	0	18.6 launch=1 after3taps=4
